,studio,number_published,average_score
0,Pine Street Codeworks LLC,1,95
1,2D Boy,4,94
2,Draknek,1,93
3,Number None Inc.,3,92
4,Sirvo LLC,1,92
5,Yakuto,1,92
6,Joel Mcdonald,1,92
7,tobyfox,3,92
8,Risky Lab LLC,1,92
9,Fangamer,2,92
10,KUNST-STOFF,1,91
11,"Dekovir, Inc.",1,91
12,kunst-stoff GmbH,1,91
13,Cold Beam Games Ltd,2,91
14,Henry Smith,1,91
15,SQUARE ENIX INC,1,91
16,Dinofarm Games,1,91
17,iam8bit,1,91
18,Flashbulb ApS,1,91
19,Brighter Minds,1,90
20,First Class Simulations,1,90
21,Atropos Studios ,2,90
22,Jean-Francois Geyelin,1,90
23,Vectorpark.com,1,90
24,A Sharp,1,90
25,KLICKTOCK,1,90
26,"Vectorpark, Inc.",1,90
27,Matt Rix,1,90
28,989 Studios,1,90
29,Prank Ltd.,1,90
30,Stray Robot Games,1,90
31,Snowman,2,90
32,Rocketcat LLC,2,90
33,"Napoleon Games, s.r.o.",1,90
34,Rayark International Limited,1,90
35,Ironhide S.A.,1,90
36,Riverman Media LLC,3,89
37,Psygnosis,4,89
38,Looking Glass Studios,4,89
39,Element 5,1,89
40,Kyle Poole,1,89
41,Crecent Moon Games LLC,1,89
42,Nenad Katic,1,89
43,Collecting Smiles,1,89
44,atebits,1,89
45,Kimmo Lahtinen,1,89
46,Senri AB,1,89
47,PLAYDEAD,1,89
48,TheCodingMonkeys,3,89
49,"GAIA CO.,LTD.",2,89
50,Andreas Illiger,2,89
51,"BeaverTap Games, LLC",4,89
52,3909,2,89
53,Sam Barlow,2,89
54,RareSloth LLC,2,89
55,Team Cherry,2,89
56,Playsport Games Ltd,2,89
57,Matt Makes Games Inc.,7,88
58,CD Projekt,7,88
59,Peter Stock,1,88
60,1337 Game Design,2,88
61,Gilded Skull Games,1,88
62,Bungie Aerospace Corporation,1,88
63,Hidden Variable Studios,2,88
64,Subset Games,4,88
65,Matous Jezek,1,88
66,Christian West,1,88
67,Galactic Cafe,1,88
68,MildMania,1,88
69,Douglas Cowley,1,88
70,Czech Games Edition,1,88
71,Prettygreat Pty. Ltd.,1,88
72,ConcernedApe,2,88
73,carlos marques,1,88
74,Yacht Club Games,1,88
75,Linden Lab,2,88
76,D-Pad Studio,2,88
77,Eric Farraro,2,88
78,BitFinity,2,88
79,Motion Twin,5,87
80,Jast,1,87
81,Polytron Corp.,5,87
82,Gameforge,1,87
83,Ancient Corp,1,87
84,Mossmouth,4,87
85,The Fighter,1,87
86,Almost Human,3,87
87,Mango Down,1,87
88,Be-Rad Entertainment LLC,1,87
89,"Thekla, Inc",4,87
90,Wanderlands,1,87
91,Cryptozoic Entertainment,1,87
92,The Fighter Collection,1,87
93,Matt Thorson,2,87
94,Studio MDHR,2,87
95,Fixpoint Productions Ltd.,1,87
96,Andy Wallace,1,87
97,Secret Crush,1,87
98,ZORG,1,87
99,"BebopBee, Inc",1,87
100,Loju,1,87
101,Luke Holland LTD,1,87
102,Armel Jestin,1,87
103,Alex Vilassak,1,87
104,Tiger Style,4,87
105,Supergiant Games,1,87
106,Infinite Fall,3,87
107,Sodesco,3,87
108,Brace Yourself Games,5,87
109,Turn 10,8,87
110,Steph Thirion,2,87
111,"Venan Entertainment, Inc.",2,87
112,ZEN Studios Ltd.,2,87
113,RAC7 Games,2,87
114,Bungie Software,1,86
115,Godzilab,5,86
116,Revolution,3,86
117,Shenandoah Studio,3,86
118,Team Meat,5,86
119,Facepalm Games,5,86
120,Blizzard Entertainment,4,86
121,New Star Games,1,86
122,Hemisphere Games,3,86
123,JohnnyTwoShoes,1,86
124,Touch Foo,2,86
125,Indiagames Limited,2,86
126,Cardboard Computer,4,86
127,Treehouse Ltd,1,86
128,Spilt Milk Studios Ltd,1,86
129,Colaboratory,1,86
130,Michael Brough,3,86
131,Black Mesa Modification Team,1,86
132,Campfire Creations,1,86
133,Experimental Gameplay Group,1,86
134,Rovio Stars Ltd,1,86
135,webbfarbror AB,3,86
136,5 Ants,1,86
137,Thomas Bowker,1,86
138,Microsoft Corporation,1,86
139,Featherweight Games Pty Limited,1,86
140,Oddrok Oy,1,86
141,Daniel Mullins Games,1,86
142,"Bluehole, Inc.",2,86
143,Simogo,9,86
144,"Mika Mobile, Inc.",3,86
145,Terry Cavanagh,6,86
146,Asymmetric Publications,2,86
147,"Activision Publishing, Inc.",2,86
148,RedOctane,8,85
149,Square EA,1,85
150,Annapurna Interactive,1,85
151,Nayantara Studios,1,85
152,SoftLab Laboratories,2,85
153,Graveck,1,85
154,BonusLevel.org,1,85
155,Snappy Touch,2,85
156,Fun Infused Games,1,85
157,"Fargoal, LLC",1,85
158,Fluttermind,1,85
159,bad monkee,1,85
160,"Indeeo, Inc.",1,85
161,Neowiz Entertainment,1,85
162,Nevercenter Ltd. Co.,2,85
163,Pieces Interactive AB,1,85
164,Productions Multimage Inc.,1,85
165,Jack,1,85
166,drool Games,3,85
167,White Whale Games,1,85
168,Fireproof Games,5,85
169,Aaron McElligott,1,85
170,ten foiled hats UG haftungsbeschraenkt & Co KG,1,85
171,"H2 Interactive Co., Ltd.",1,85
172,Snapshot Games Inc.,1,85
173,amulware,1,85
174,Bifrost Entertainment,2,85
175,Drool,4,85
176,Anomaly Studios Pte Ltd,1,85
177,Game Alliance,1,85
178,Patrick Cook,1,85
179,Parallel Circles,1,85
180,Dreamloop Games,1,85
181,Jacob Janerka,1,85
182,Polyarc,1,85
183,Onion Games,1,85
184,inkle,7,85
185,Valve Software,3,85
186,Indiagames,2,85
187,Majic Jungle Software,2,85
188,Jellyoasis Inc.,2,85
189,One Man Left,4,85
190,Grinding Gear Games,2,85
191,YoYo Games Ltd.,2,85
192,QCF Design,2,85
193,Superbrothers,2,85
194,"Semi Secret Software, LLC",2,85
195,KillHouse Games,2,85
196,One Man Left Studios,4,85
197,Jason Roberts,4,85
198,YoYo Games,2,85
199,"Sega Of America, Inc.",2,85
200,Sabotage Studio,2,85
201,Edmund McMillen,3,84
202,PagodaWest Games,3,84
203,Kenny Sun,3,84
204,Enhance Games,6,84
205,CD Projekt Red Studio,1,84
206,ArenaNet,7,84
207,Dodge Roll,4,84
208,Moppin,4,84
209,Tyler Glaiel ,1,84
210,Aldorlea Games,1,84
211,Firemint,8,84
212,Bryan Mitchell,1,84
213,mobcast inc.,1,84
214,ustwo,5,84
215,Zombie Cow Studios,1,84
216,OtherWise Games,1,84
217,Lake Effect Applications,1,84
218,Art in Games,1,84
219,2x2 Games,1,84
220,increpare,2,84
221,Clockwork Pixels,2,84
222,APD Inc.,1,84
223,ClutchPlay Games,1,84
224,Social Titans LLC,1,84
225,Ironhide Game Studio,2,84
226,Michael Burns,2,84
227,Casual Labs LLC,1,84
228,Laura Shigihara,1,84
229,Rocket City Studios,1,84
230,Through Games,1,84
231,Clint Siu,1,84
232,Dumb and Fat Games,1,84
233,Super Evil Megacorp,1,84
234,Game-Labs,1,84
235,Dinosaur Polo Club,3,84
236,Felwig Games LLP,1,84
237,Layton Hawkes,1,84
238,"IndieBox, Inc.",2,84
239,Anim Ace,1,84
240,Colin Lane Games AB,1,84
241,Robot Circus Pty Ltd,1,84
242,Terrible Toybox,4,84
243,Tarsier Studios Publishing AB,1,84
244,Kalypso Media Mobile GmbH,1,84
245,DrinkBox Studios,1,84
246,Tom Happ,6,84
247,Amanita Design,8,84
248,HIPSTER WHALE,4,84
249,Zach Gage,7,84
250,"Playdek, Inc.",6,84
251,Loveshack Entertainment,3,84
252,Madgarden,2,84
253,Wandake,2,84
254,"Days Of Wonder, Inc.",2,84
255,"Asterizm Co., Ltd",2,84
256,Rayark Inc.,2,84
257,Feral Interactive,4,84
258,Arnold Rauers,4,84
259,Days Of Wonder,2,84
260,My Dog Zorro,2,84
261,Metanet Software Inc.,7,83
262,Firaxis Games,4,83
263,Joakim Sandberg,3,83
264,Rocketcat Games,9,83
265,Image & Form,1,83
266,Firemint Pty Ltd,7,83
267,Konjak,5,83
268,Red Orb Entertainment,1,83
269,Sonalysts,2,83
270,Moonpod,1,83
271,Bright Night Games,1,83
272,Indiagames Ltd.,2,83
273,The Iconfactory,1,83
274,OOO Gameprom,3,83
275,Berzerker Games,1,83
276,Cellar Door Games,6,83
277,Two Lives Left,1,83
278,Flightless,1,83
279,Mikengreg,3,83
280,iQubi Inc.,1,83
281,Endless Fluff,1,83
282,Monkube,1,83
283,Flat Black Films,1,83
284,Fallen Tree Games,2,83
285,Giant Army,1,83
286,Redigit,2,83
287,Clueless Little Muffin,1,83
288,Ragtime Games LLC,1,83
289,OMGPOP,1,83
290,SilverTree Media,2,83
291,Berzerk Studio,1,83
292,Zee-3,1,83
293,Hope This Works Games Inc.,1,83
294,Double Jungle S.a.s.,1,83
295,Michael Falk,1,83
296,Freshuu Inc.,1,83
297,FTL Team,2,83
298,Crate Entertainment,1,83
299,Gamer Delights,2,83
300,Picnic Hippo Studios,1,83
301,Iddiction,1,83
302,Inverse Blue,1,83
303,Naquatic LLC,1,83
304,Wolfgame,1,83
305,Droqen,1,83
306,Mother Gaia Studio,1,83
307,X4 Games,1,83
308,Drifter's Church Productions,1,83
309,Tequila Games Sp. z o.o.,1,83
310,Doragon Entertainment,1,83
311,Pixbits SRL,1,83
312,Sirlin Games,1,83
313,F2Z Digital Media Inc.,1,83
314,Jordan Pearson,1,83
315,IAN SNYDER,1,83
316,Ninja Crime,1,83
317,Jin Man Kim,1,83
318,GalaxyTrail,3,83
319,Bad Crane Ltd,1,83
320,Tyson Ibele,1,83
321,Endnight Studios,1,83
322,Praxia Entertainment Inc,1,83
323,Rainbow Train,1,83
324,DropForge Games,1,83
325,Mighty Games,1,83
326,MP2 Games,2,83
327,Daniel Wright,1,83
328,Sorath,1,83
329,Alike Studio,2,83
330,505  Games,1,83
331,Zadbox Entertainment,1,83
332,Villa Gorilla,4,83
333,Team D-13,1,83
334,"Terrible Toybox, Inc.",1,83
335,Drifter Entertainment,1,83
336,Bobby Li,1,83
337,Out Of The Park Developments,2,83
338,The Fullbright Company,5,83
339,FuturLab,1,83
340,Witch Beam,3,83
341,X2 Games,3,83
342,Sarah Northway,3,83
343,JapanStudio,2,83
344,EA Mobile,2,83
345,Secret Exit Ltd.,2,83
346,House on Fire,2,83
347,Red Hook Studios,6,83
348,Veewo Games,2,83
349,Clever Endeavour Games,2,83
350,Cloudhead Games ltd.,2,83
351,Secret Exit,2,83
352,Epic Games,3,82
353,Butterscotch Shenanigans,5,82
354,Humble Hearts,6,82
355,Kumobius,4,82
356,Horberg Productions,4,82
357,MTV Games,2,82
358,Pixelbite,5,82
359,Broderbund,1,82
360,FDG,2,82
361,Seven Lights,2,82
362,Bit Blot,1,82
363,Codito Development Inc.,1,82
364,BigStack Studios,1,82
365,gamedoctors,1,82
366,Blue Carrot Games,1,82
367,Stunlock Studios,2,82
368,"Final Form Games, LLC",2,82
369,Image & Form International AB,2,82
370,Nano Titans,1,82
371,tap tap tap,1,82
372,Zee 3 Limited,2,82
373,Tom Janson,1,82
374,Nordisk Film Games Publishing,1,82
375,Squid In A Box,1,82
376,The Game Kitchen,2,82
377,Level Up Labs,1,82
378,GAMEVIL USA Inc,1,82
379,Demruth,1,82
380,Wild Shadow Studios,1,82
381,Angry Bugs,1,82
382,Whitaker Blackall,1,82
383,Game Stew,1,82
384,3 Cubes Research Limited,1,82
385,Ambient Studios,1,82
386,Asteroid Base,4,82
387,Experimental Gameplay,1,82
388,Little Bobby,1,82
389,Glowingpine Studios HB,1,82
390,Jeffrey Fal,1,82
391,Davey Wreden,2,82
392,Neven Mrgan,1,82
393,Alan Hazelden & Harry Lee,1,82
394,Heart Machine,4,82
395,Arkadium,1,82
396,Counterplay Games,1,82
397,Matthias Titze,1,82
398,Alliance Digital Media,1,82
399,Hammer & Chisel Inc,1,82
400,FiolaSoft Studio,1,82
401,Damian Sommer,1,82
402,Foxhole Games LLP,1,82
403,"Freehold Games, LLC",1,82
404,Boncho Games,1,82
405,DMM GAMES,2,82
406,ThirtyThree Games,1,82
407,Righteous Hammer Games,1,82
408,Rocket Jump,1,82
409,Blue Wizard Digital Ltd.,3,82
410,Kaigan Games OU,1,82
411,All Yes Good,1,82
412,Fntastic,1,82
413,Larian Studios Games Ltd,1,82
414,Respawn Entertainment,8,82
415,Oddworld Inhabitants,1,82
416,Westwood Studios,9,82
417,Mimimi Productions,4,82
418,Red Candle Game,3,82
419,Sony Interactive Entertainment LLC,3,82
420,Rockstar Games,1,82
421,Laser Dog,5,82
422,SUPERHOT,5,82
423,Kiloo ApS,8,82
424,Cat in a Box Games,2,82
425,Blue Manchu,2,82
426,Gionathan Pesaresi,2,82
427,Sekai Project,2,82
428,"GHI Media, LLC",2,82
429,Tencent,2,82
430,Mythic Entertainment,5,81
431,Runic Games,5,81
432,Stoic,1,81
433,Sports Interactive,2,81
434,Hexage.net,3,81
435,LambdaMu Games,3,81
436,Blendo Games,3,81
437,Bertil Horberg,6,81
438,Robot Invader,3,81
439,Hexage,3,81
440,Splashteam,3,81
441,Grubby Games,2,81
442,Lucky Frame,4,81
443,Studio Pixel,4,81
444,Failbetter Games,4,81
445,Blue Wizard Digital,4,81
446,The Behemoth,1,81
447,Chucklefish,8,81
448,Kojima Productions,1,81
449,ODENIS Studios,2,81
450,Void Star Creations,1,81
451,Mika Mobile,2,81
452,38 Studios,1,81
453,"Spark Plug Games, LLC",1,81
454,BLUE WIND,1,81
455,Rock Pocket Ltd,1,81
456,"FreshGames, LLC",1,81
457,Twitchy Thumbs,1,81
458,ACNE Play,1,81
459,BlipTime Studios,1,81
460,Ratrod Studio Inc.,1,81
461,Magic Cube,1,81
462,Endless Wave Software LLC,1,81
463,Copenhagen Game Collective,1,81
464,Ian MacLarty,2,81
465,ShockPanda Games,1,81
466,Joost van Dongen,1,81
467,Delusion Studio Inc.,1,81
468,Break Media,1,81
469,Glow Play,1,81
470,Manic Game Studios,1,81
471,RaLight Solutions,1,81
472,"Mobile Snap, LLC",1,81
473,ByteSize Games,1,81
474,Raptus Games,1,81
475,Red Winter Software Limited,4,81
476,Right Square Bracket Left Square Bracket Games,2,81
477,Cie Games,1,81
478,AppAbove Games LLC,1,81
479,BonusXP,1,81
480,Johamm Tael & Mihkel Tael,2,81
481,Application Systems Heidelberg Software GmbH,1,81
482,Chilli Hugger,1,81
483,Otto-Ville Ojala,1,81
484,Tom Francis,2,81
485,Iron Tower Studio,1,81
486,31x Limited,1,81
487,Luderia Jogos Digitais Ltda,1,81
488,Force Of Habit,1,81
489,Team Colorblind,1,81
490,POSSIBLE GAMES Kft.,1,81
491,Metalhead Software,5,81
492,Martin Magni,2,81
493,Night School Studio,5,81
494,Space Bears S.A.S,1,81
495,Awfully Nice Studios,1,81
496,tinyBuild LLC,1,81
497,Yak & Co,1,81
498,"NRG Energy, Inc.",1,81
499,Energetic Holdings Limited,1,81
500,Kyle Seeley,1,81
501,D3 Go!,1,81
502,Team Oneshot,1,81
503,Whippering,1,81
504,Versus Evil LLC,1,81
505,Red Winter Software,4,81
506,Charm Games,1,81
507,Tencent Games,1,81
508,Netflix,1,81
509,SquareSoft,2,81
510,Donut Games,5,81
511,SCE Santa Monica,9,81
512,Invisible Handlebar,3,81
513,Ska Studios,6,81
514,Locomalito,6,81
515,Action Button Entertainment,3,81
516,Panic Inc.,3,81
517,kunabi brother GmbH,3,81
518,Digital Sun,3,81
519,Game Freak,2,81
520,Pocketwatch Games,4,81
521,Capybara Games,2,81
522,Illusion Labs,6,81
523,Kieffer Bros.,2,81
524,Mindware,2,81
525,ZeptoLab,1,81
526,First Touch,2,81
527,superflat games,4,81
528,Trinket Studios,2,81
529,Sparpweed,2,81
530,Playground Publishing B.V.,2,81
531,Clever-Plays,2,81
532,Noodlecake Studios,2,81
533,Aurelien Regard,2,81
534,Protostar,2,81
535,Adriaan de Jongh,2,81
536,Flying Oak Games,2,81
537,Monomi Park,2,81
538,Vlambeer,8,80
539,GameTap,1,80
540,Gavina Games,3,80
541,"Butterscotch Shenanigans, LLC",3,80
542,1Button SARL,3,80
543,Steel Crate Games,3,80
544,"Spry Fox, LLC",4,80
545,Lucid Games,7,80
546,Survios,7,80
547,Ghost Town Games Ltd.,8,80
548,Hello Games,1,80
549,Treasure,1,80
550,Solecismic Software,1,80
551,Venan Entertainment,1,80
552,Grey Dog Software,1,80
553,Raptisoft,3,80
554,93 Games Studio,1,80
555,Recoil Games,2,80
556,Team Phobic,1,80
557,Geardome,2,80
558,Xona Games,1,80
559,Marco Mazzoli,1,80
560,Atakama Labs Inc,1,80
561,"Atlus U.S.A., Inc.",2,80
562,lbxgames,2,80
563,Mark White,1,80
564,MoStar,1,80
565,Playsoft,1,80
566,int13,1,80
567,Noumenon Games,1,80
568,"Game Insight, LLC",1,80
569,Recluse Industries,1,80
570,Liv Games,3,80
571,Flash Technical,2,80
572,Mugeaters,1,80
573,Fusion Reactions,2,80
574,XperimentalZ Games,3,80
575,Jonathan Kreuzer,1,80
576,Aquiris Game Studio,3,80
577,Delirium Studios S.L.,1,80
578,Mediocre AB,7,80
579,Creative Mobile Games,1,80
580,Nano Titans Co.,1,80
581,Ndemic Creations,2,80
582,JoyMasher,1,80
583,BitMonster Games,1,80
584,VAP Games,1,80
585,roll7,1,80
586,RebelTwins,1,80
